id	first_publication
uiuo.ark+=13960=t3zs3102r	1842
uc2.ark+=13960=t0rr1qr61	1801
uc2.ark+=13960=t52f7k96w	1869
uc2.ark+=13960=t4qj79600	1832
ncs1.ark+=13960=t2794fx0m	1866
coo1.ark+=13960=t1ng5723x	1890
coo1.ark+=13960=t64468300	1848
nnc2.ark+=13960=t99629w3q	1922
dul1.ark+=13960=t70v9094q	1769
dul1.ark+=13960=t4qj7xg01	1769
aeu.ark+=13960=t44q8v17k	N/A
uc2.ark+=13960=t08w39v28	N/A
uc2.ark+=13960=t40r9qb1j	1792
nnc2.ark+=13960=t2n59bv2p	1802
loc.ark+=13960=t9k35vk89	N/A
aeu.ark+=13960=t6737zk9v	1794
nnc2.ark+=13960=t4rj6988p	1862
aeu.ark+=13960=t0rr27096	1898
uc2.ark+=13960=t0xp6vs9b	1907
dul1.ark+=13960=t3gx59701	N/A
uc2.ark+=13960=t52f7md74	1834
mdp.39015080969150	N/A
loc.ark+=13960=t4mk6dw64	1856
uc2.ark+=13960=t3bz64f7h	N/A
uc2.ark+=13960=t4fn12q9f	N/A
ncs1.ark+=13960=t9w09k78s	1793
ncs1.ark+=13960=t2r504k7j	1793
uc2.ark+=13960=t0rr1qq0p	1749
aeu.ark+=13960=t9q24nc56	1750
aeu.ark+=13960=t3kw64h7w	1750
aeu.ark+=13960=t23b6s714	1747
gri.ark+=13960=t1wd7k14b	1748
aeu.ark+=13960=t6058cj6t	1746
uc2.ark+=13960=t83j3rt3w	1726
gri.ark+=13960=t1rf87d53	1747
uc2.ark+=13960=t0tq60z09	1736
